,Expert 0,Expert 1,Expert 2,Expert 3
正手抽球,0.013921,0.026471,0.017342,0.942265
反手削球,0.012640,0.013193,0.968836,0.005332
网前吊球,0.938942,0.000000,0.059521,0.001537
高压球,0.000000,0.968384,0.020020,0.011596
