,Expert 0,Expert 1,Expert 2,Expert 3
正手抽球,0.075000,0.150000,0.000000,0.775000
反手削球,0.050000,0.500000,0.325000,0.125000
网前吊球,0.150000,0.050000,0.800000,0.000000
高压球,0.800000,0.000000,0.000000,0.200000
