epoch,train_loss,train_ce,train_lb,train_acc,val_loss,val_ce,val_lb,val_acc,lr
1,1.2055476358958652,1.2055476358958652,0.0,0.6803571428571429,1.1871414661407471,1.1871414661407471,0.0,0.9625,0.001
2,0.8979265417371477,0.8979265417371477,0.0,0.9642857142857143,0.8162786722183227,0.8162786722183227,0.0,0.9875,0.001
3,0.636032657963889,0.636032657963889,0.0,0.9785714285714285,0.4793349623680115,0.4793349623680115,0.0,0.9875,0.001
4,0.4228214034012386,0.4228214034012386,0.0,0.9839285714285714,0.2735185444355011,0.2735185444355011,0.0,1.0,0.001
5,0.27015974521636965,0.27015974521636965,0.0,0.9946428571428572,0.16104384660720825,0.16104384660720825,0.0,1.0,0.001
6,0.19056871150221144,0.19056871150221144,0.0,0.9892857142857143,0.10064206272363663,0.10064206272363663,0.0,1.0,0.001
7,0.11585875770875385,0.11585875770875385,0.0,0.9910714285714286,0.06850657165050507,0.06850657165050507,0.0,1.0,0.001
8,0.08799129160387176,0.08799129160387176,0.0,0.9892857142857143,0.049393102526664734,0.049393102526664734,0.0,1.0,0.001
9,0.06126310133508273,0.06126310133508273,0.0,0.9964285714285714,0.03611511513590813,0.03611511513590813,0.0,1.0,0.001
10,0.05328977267657008,0.05328977267657008,0.0,0.9946428571428572,0.029277700185775756,0.029277700185775756,0.0,1.0,0.001
11,0.04071078673005104,0.04071078673005104,0.0,0.9946428571428572,0.023466041684150694,0.023466041684150694,0.0,1.0,0.001
12,0.048185017545308385,0.048185017545308385,0.0,0.9946428571428572,0.017721478641033173,0.017721478641033173,0.0,1.0,0.001
13,0.02911557363612311,0.02911557363612311,0.0,0.9964285714285714,0.01509324535727501,0.01509324535727501,0.0,1.0,0.001
14,0.0265618093843971,0.0265618093843971,0.0,0.9982142857142857,0.012786897644400597,0.012786897644400597,0.0,1.0,0.001
15,0.02532844500882285,0.02532844500882285,0.0,1.0,0.010859823413193226,0.010859823413193226,0.0,1.0,0.001
16,0.026632039248943327,0.026632039248943327,0.0,0.9964285714285714,0.008985709585249423,0.008985709585249423,0.0,1.0,0.001
17,0.022050673088857106,0.022050673088857106,0.0,0.9964285714285714,0.0077134774997830394,0.0077134774997830394,0.0,1.0,0.001
18,0.020337639855487005,0.020337639855487005,0.0,0.9982142857142857,0.006757766380906105,0.006757766380906105,0.0,1.0,0.001
19,0.023211718164384366,0.023211718164384366,0.0,0.9928571428571429,0.007244506850838661,0.007244506850838661,0.0,1.0,0.001
20,0.022657368491802898,0.022657368491802898,0.0,0.9928571428571429,0.005867272801697254,0.005867272801697254,0.0,1.0,0.001
21,0.016938161557274206,0.016938161557274206,0.0,0.9964285714285714,0.005097803194075823,0.005097803194075823,0.0,1.0,0.001
22,0.015454542038163968,0.015454542038163968,0.0,0.9982142857142857,0.00440512066707015,0.00440512066707015,0.0,1.0,0.001
23,0.018627832404204778,0.018627832404204778,0.0,0.9964285714285714,0.003931774478405714,0.003931774478405714,0.0,1.0,0.001
24,0.01845474477325167,0.01845474477325167,0.0,0.9964285714285714,0.0035656561609357595,0.0035656561609357595,0.0,1.0,0.001
25,0.013073335029184818,0.013073335029184818,0.0,0.9964285714285714,0.0030543283559381963,0.0030543283559381963,0.0,1.0,0.001
26,0.012644156201609543,0.012644156201609543,0.0,0.9964285714285714,0.0027993321418762207,0.0027993321418762207,0.0,1.0,0.001
27,0.021138329857162068,0.021138329857162068,0.0,0.9928571428571429,0.002728829439729452,0.002728829439729452,0.0,1.0,0.001
28,0.021178649126418998,0.021178649126418998,0.0,0.9982142857142857,0.002646938292309642,0.002646938292309642,0.0,1.0,0.001
29,0.020450465460973125,0.020450465460973125,0.0,0.9928571428571429,0.0026846325956285,0.0026846325956285,0.0,1.0,0.001
30,0.0116275212594441,0.0116275212594441,0.0,0.9964285714285714,0.0024686891585588453,0.0024686891585588453,0.0,1.0,0.001
31,0.01442958369318928,0.01442958369318928,0.0,0.9946428571428572,0.0022614275105297564,0.0022614275105297564,0.0,1.0,0.001
32,0.007048690651676484,0.007048690651676484,0.0,0.9982142857142857,0.0020626043900847436,0.0020626043900847436,0.0,1.0,0.001
33,0.016548202938533256,0.016548202938533256,0.0,0.9928571428571429,0.001986924186348915,0.001986924186348915,0.0,1.0,0.001
34,0.011864692132387842,0.011864692132387842,0.0,0.9964285714285714,0.0016960959881544113,0.0016960959881544113,0.0,1.0,0.001
35,0.02618573454341718,0.02618573454341718,0.0,0.9910714285714286,0.0021060646511614324,0.0021060646511614324,0.0,1.0,0.001
36,0.006570127366908959,0.006570127366908959,0.0,1.0,0.0021879178006201983,0.0021879178006201983,0.0,1.0,0.001
37,0.006705547789377825,0.006705547789377825,0.0,0.9982142857142857,0.0018426296999678015,0.0018426296999678015,0.0,1.0,0.001
38,0.011739318438672593,0.011739318438672593,0.0,0.9946428571428572,0.0017745153978466987,0.0017745153978466987,0.0,1.0,0.001
39,0.006514972820878029,0.006514972820878029,0.0,0.9982142857142857,0.0016468276036903263,0.0016468276036903263,0.0,1.0,0.001
40,0.014945522190204688,0.014945522190204688,0.0,0.9964285714285714,0.0016001828014850616,0.0016001828014850616,0.0,1.0,0.001
41,0.007516204539154257,0.007516204539154257,0.0,0.9982142857142857,0.0015186586417257786,0.0015186586417257786,0.0,1.0,0.001
42,0.005729582905769348,0.005729582905769348,0.0,1.0,0.001600870699621737,0.001600870699621737,0.0,1.0,0.001
43,0.004856825061142445,0.004856825061142445,0.0,1.0,0.001937754126265645,0.001937754126265645,0.0,1.0,0.001
44,0.0047579865237431865,0.0047579865237431865,0.0,1.0,0.0018605561694130302,0.0018605561694130302,0.0,1.0,0.001
45,0.005609705292486718,0.005609705292486718,0.0,1.0,0.0011983335949480533,0.0011983335949480533,0.0,1.0,0.001
46,0.006492992490530014,0.006492992490530014,0.0,1.0,0.0013172948732972146,0.0013172948732972146,0.0,1.0,0.001
47,0.0035932019286389863,0.0035932019286389863,0.0,1.0,0.0012862954288721084,0.0012862954288721084,0.0,1.0,0.001
48,0.013293687294104269,0.013293687294104269,0.0,0.9964285714285714,0.0010114111937582493,0.0010114111937582493,0.0,1.0,0.001
49,0.004840744978615216,0.004840744978615216,0.0,1.0,0.001060678018257022,0.001060678018257022,0.0,1.0,0.001
50,0.002115299379719155,0.002115299379719155,0.0,1.0,0.001118223392404616,0.001118223392404616,0.0,1.0,0.001
51,0.0020870443233954056,0.0020870443233954056,0.0,1.0,0.0010290766833350063,0.0010290766833350063,0.0,1.0,0.001
52,0.009451198830668415,0.009451198830668415,0.0,0.9982142857142857,0.0009591948008164763,0.0009591948008164763,0.0,1.0,0.001
53,0.01031365436501801,0.01031365436501801,0.0,0.9964285714285714,0.0012286624521948397,0.0012286624521948397,0.0,1.0,0.001
54,0.0043018117813127385,0.0043018117813127385,0.0,1.0,0.0020003499812446535,0.0020003499812446535,0.0,1.0,0.001
55,0.01229808546735772,0.01229808546735772,0.0,0.9946428571428572,0.0010874010156840086,0.0010874010156840086,0.0,1.0,0.001
56,0.0035729919227638417,0.0035729919227638417,0.0,1.0,0.0010883744340389966,0.0010883744340389966,0.0,1.0,0.001
57,0.003527050932669746,0.003527050932669746,0.0,1.0,0.001201437320560217,0.001201437320560217,0.0,1.0,0.001
