,Expert 0,Expert 1,Expert 2,Expert 3
正手抽球,0.022614,0.028543,0.002940,0.945903
反手削球,0.016877,0.014024,0.961048,0.008050
网前吊球,0.957692,0.000000,0.034948,0.007360
高压球,0.000000,0.967873,0.014709,0.017418
